day,slot,mechanism,location,kl15,note
2,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
2,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
2,1,evaporation,TK-03,0.000199,FREE VENT - PV valve missing/stuck open
2,1,evaporation,TK-04,0.0,"PV valve, set 2.5 kPa"
2,1,evaporation,TK-05,0.002413,"PV valve, set 2.5 kPa"
2,1,evaporation,loading bays,0.003323,vapour displaced from road tankers
2,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
2,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
2,2,evaporation,TK-03,0.00016,FREE VENT - PV valve missing/stuck open
2,2,evaporation,TK-04,0.001495,"PV valve, set 2.5 kPa"
2,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
2,2,evaporation,loading bays,0.001535,vapour displaced from road tankers
3,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
3,0,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
3,0,evaporation,TK-03,0.002085,FREE VENT - PV valve missing/stuck open
3,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
3,0,evaporation,TK-05,4e-06,"PV valve, set 2.5 kPa"
3,0,evaporation,loading bays,0.001981,vapour displaced from road tankers
3,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
3,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
3,1,evaporation,TK-03,0.000177,FREE VENT - PV valve missing/stuck open
3,1,evaporation,TK-04,0.0,"PV valve, set 2.5 kPa"
3,1,evaporation,TK-05,0.004219,"PV valve, set 2.5 kPa"
3,1,evaporation,loading bays,0.002917,vapour displaced from road tankers
3,2,evaporation,TK-01,0.001954,"PV valve, set 2.5 kPa"
3,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
3,2,evaporation,TK-03,0.00015,FREE VENT - PV valve missing/stuck open
3,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
3,2,evaporation,TK-05,2e-06,"PV valve, set 2.5 kPa"
3,2,evaporation,loading bays,0.001196,vapour displaced from road tankers
4,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
4,0,evaporation,TK-02,0.002464,"PV valve, set 2.5 kPa"
4,0,evaporation,TK-03,0.000137,FREE VENT - PV valve missing/stuck open
4,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
4,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
4,0,evaporation,loading bays,0.002031,vapour displaced from road tankers
4,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
4,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
4,1,evaporation,TK-03,0.000196,FREE VENT - PV valve missing/stuck open
4,1,evaporation,TK-04,0.004368,"PV valve, set 2.5 kPa"
4,1,evaporation,TK-05,0.0,"PV valve, set 2.5 kPa"
4,1,evaporation,loading bays,0.002564,vapour displaced from road tankers
4,2,evaporation,TK-01,0.001644,"PV valve, set 2.5 kPa"
4,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
4,2,evaporation,TK-03,0.000154,FREE VENT - PV valve missing/stuck open
4,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
4,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
4,2,evaporation,loading bays,0.001289,vapour displaced from road tankers
5,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
5,0,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
5,0,evaporation,TK-03,0.00015,FREE VENT - PV valve missing/stuck open
5,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
5,0,evaporation,TK-05,0.001817,"PV valve, set 2.5 kPa"
5,0,evaporation,loading bays,0.002131,vapour displaced from road tankers
5,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
5,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
5,1,evaporation,TK-03,0.004347,FREE VENT - PV valve missing/stuck open
5,1,evaporation,TK-04,0.0,"PV valve, set 2.5 kPa"
5,1,evaporation,TK-05,0.0,"PV valve, set 2.5 kPa"
5,1,evaporation,loading bays,0.003229,vapour displaced from road tankers
5,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
5,2,evaporation,TK-02,0.001773,"PV valve, set 2.5 kPa"
5,2,evaporation,TK-03,0.000129,FREE VENT - PV valve missing/stuck open
5,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
5,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
5,2,evaporation,loading bays,0.001332,vapour displaced from road tankers
6,0,evaporation,TK-01,0.002597,"PV valve, set 2.5 kPa"
6,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
6,0,evaporation,TK-03,0.000141,FREE VENT - PV valve missing/stuck open
6,0,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
6,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
6,0,evaporation,loading bays,0.002403,vapour displaced from road tankers
6,1,evaporation,TK-01,1e-06,"PV valve, set 2.5 kPa"
6,1,evaporation,TK-02,1e-06,"PV valve, set 2.5 kPa"
6,1,evaporation,TK-03,0.000172,FREE VENT - PV valve missing/stuck open
6,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
6,1,evaporation,TK-05,0.003895,"PV valve, set 2.5 kPa"
6,1,evaporation,loading bays,0.002901,vapour displaced from road tankers
6,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
6,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
6,2,evaporation,TK-03,0.000151,FREE VENT - PV valve missing/stuck open
6,2,evaporation,TK-04,0.001876,"PV valve, set 2.5 kPa"
6,2,evaporation,TK-05,2e-06,"PV valve, set 2.5 kPa"
6,2,evaporation,loading bays,0.001551,vapour displaced from road tankers
7,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
7,0,evaporation,TK-02,0.002133,"PV valve, set 2.5 kPa"
7,0,evaporation,TK-03,0.000134,FREE VENT - PV valve missing/stuck open
7,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
7,0,evaporation,TK-05,4e-06,"PV valve, set 2.5 kPa"
7,0,evaporation,loading bays,0.001966,vapour displaced from road tankers
7,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
7,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
7,1,evaporation,TK-03,0.000193,FREE VENT - PV valve missing/stuck open
7,1,evaporation,TK-04,0.003421,"PV valve, set 2.5 kPa"
7,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
7,1,evaporation,loading bays,0.002848,vapour displaced from road tankers
7,2,evaporation,TK-01,0.001856,"PV valve, set 2.5 kPa"
7,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
7,2,evaporation,TK-03,0.000165,FREE VENT - PV valve missing/stuck open
7,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
7,2,evaporation,TK-05,2e-06,"PV valve, set 2.5 kPa"
7,2,evaporation,loading bays,0.001566,vapour displaced from road tankers
8,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
8,0,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
8,0,evaporation,TK-03,0.000147,FREE VENT - PV valve missing/stuck open
8,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
8,0,evaporation,TK-05,0.002188,"PV valve, set 2.5 kPa"
8,0,evaporation,loading bays,0.00179,vapour displaced from road tankers
8,1,evaporation,TK-01,1e-06,"PV valve, set 2.5 kPa"
8,1,evaporation,TK-02,1e-06,"PV valve, set 2.5 kPa"
8,1,evaporation,TK-03,0.003917,FREE VENT - PV valve missing/stuck open
8,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
8,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
8,1,evaporation,loading bays,0.002849,vapour displaced from road tankers
8,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
8,2,evaporation,TK-02,0.001768,"PV valve, set 2.5 kPa"
8,2,evaporation,TK-03,0.000133,FREE VENT - PV valve missing/stuck open
8,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
8,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
8,2,evaporation,loading bays,0.001322,vapour displaced from road tankers
9,0,evaporation,TK-01,0.00244,"PV valve, set 2.5 kPa"
9,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
9,0,evaporation,TK-03,0.000129,FREE VENT - PV valve missing/stuck open
9,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
9,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
9,0,evaporation,loading bays,0.001829,vapour displaced from road tankers
9,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
9,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
9,1,evaporation,TK-03,0.00018,FREE VENT - PV valve missing/stuck open
9,1,evaporation,TK-04,0.0,"PV valve, set 2.5 kPa"
9,1,evaporation,TK-05,0.003034,"PV valve, set 2.5 kPa"
9,1,evaporation,loading bays,0.003376,vapour displaced from road tankers
9,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
9,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
9,2,evaporation,TK-03,0.000149,FREE VENT - PV valve missing/stuck open
9,2,evaporation,TK-04,0.001892,"PV valve, set 2.5 kPa"
9,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
9,2,evaporation,loading bays,0.001427,vapour displaced from road tankers
10,0,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
10,0,evaporation,TK-02,0.002,"PV valve, set 2.5 kPa"
10,0,evaporation,TK-03,0.000144,FREE VENT - PV valve missing/stuck open
10,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
10,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
10,0,evaporation,loading bays,0.001944,vapour displaced from road tankers
10,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
10,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
10,1,evaporation,TK-03,0.000198,FREE VENT - PV valve missing/stuck open
10,1,evaporation,TK-04,0.0,"PV valve, set 2.5 kPa"
10,1,evaporation,TK-05,0.003858,"PV valve, set 2.5 kPa"
10,1,evaporation,loading bays,0.00264,vapour displaced from road tankers
10,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
10,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
10,2,evaporation,TK-03,0.000159,FREE VENT - PV valve missing/stuck open
10,2,evaporation,TK-04,0.001308,"PV valve, set 2.5 kPa"
10,2,evaporation,TK-05,2e-06,"PV valve, set 2.5 kPa"
10,2,evaporation,loading bays,0.001451,vapour displaced from road tankers
11,0,evaporation,TK-01,0.001774,"PV valve, set 2.5 kPa"
11,0,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
11,0,evaporation,TK-03,0.000151,FREE VENT - PV valve missing/stuck open
11,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
11,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
11,0,evaporation,loading bays,0.001958,vapour displaced from road tankers
11,1,evaporation,TK-01,1e-06,"PV valve, set 2.5 kPa"
11,1,evaporation,TK-02,1e-06,"PV valve, set 2.5 kPa"
11,1,evaporation,TK-03,0.003797,FREE VENT - PV valve missing/stuck open
11,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
11,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
11,1,evaporation,loading bays,0.003221,vapour displaced from road tankers
11,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
11,2,evaporation,TK-02,0.002062,"PV valve, set 2.5 kPa"
11,2,evaporation,TK-03,0.000142,FREE VENT - PV valve missing/stuck open
11,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
11,2,evaporation,TK-05,2e-06,"PV valve, set 2.5 kPa"
11,2,evaporation,loading bays,0.001358,vapour displaced from road tankers
12,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
12,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
12,0,evaporation,TK-03,0.000133,FREE VENT - PV valve missing/stuck open
12,0,evaporation,TK-04,0.00249,"PV valve, set 2.5 kPa"
12,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
12,0,evaporation,loading bays,0.001857,vapour displaced from road tankers
12,1,evaporation,TK-01,0.003729,"PV valve, set 2.5 kPa"
12,1,evaporation,TK-02,1e-06,"PV valve, set 2.5 kPa"
12,1,evaporation,TK-03,0.000169,FREE VENT - PV valve missing/stuck open
12,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
12,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
12,1,evaporation,loading bays,0.003057,vapour displaced from road tankers
12,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
12,2,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
12,2,evaporation,TK-03,0.000144,FREE VENT - PV valve missing/stuck open
12,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
12,2,evaporation,TK-05,0.001534,"PV valve, set 2.5 kPa"
12,2,evaporation,loading bays,0.001408,vapour displaced from road tankers
13,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
13,0,evaporation,TK-02,0.00268,"PV valve, set 2.5 kPa"
13,0,evaporation,TK-03,0.000135,FREE VENT - PV valve missing/stuck open
13,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
13,0,evaporation,TK-05,4e-06,"PV valve, set 2.5 kPa"
13,0,evaporation,loading bays,0.001871,vapour displaced from road tankers
13,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
13,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
13,1,evaporation,TK-03,0.000201,FREE VENT - PV valve missing/stuck open
13,1,evaporation,TK-04,0.0,"PV valve, set 2.5 kPa"
13,1,evaporation,TK-05,0.004326,"PV valve, set 2.5 kPa"
13,1,evaporation,loading bays,0.003344,vapour displaced from road tankers
13,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
13,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
13,2,evaporation,TK-03,0.000155,FREE VENT - PV valve missing/stuck open
13,2,evaporation,TK-04,0.001656,"PV valve, set 2.5 kPa"
13,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
13,2,evaporation,loading bays,0.001323,vapour displaced from road tankers
14,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
14,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
14,0,evaporation,TK-03,0.002165,FREE VENT - PV valve missing/stuck open
14,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
14,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
14,0,evaporation,loading bays,0.001982,vapour displaced from road tankers
14,1,evaporation,TK-01,0.004105,"PV valve, set 2.5 kPa"
14,1,evaporation,TK-02,1e-06,"PV valve, set 2.5 kPa"
14,1,evaporation,TK-03,0.000179,FREE VENT - PV valve missing/stuck open
14,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
14,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
14,1,evaporation,loading bays,0.003674,vapour displaced from road tankers
14,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
14,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
14,2,evaporation,TK-03,0.000154,FREE VENT - PV valve missing/stuck open
14,2,evaporation,TK-04,0.001743,"PV valve, set 2.5 kPa"
14,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
14,2,evaporation,loading bays,0.001536,vapour displaced from road tankers
15,0,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
15,0,evaporation,TK-02,0.002206,"PV valve, set 2.5 kPa"
15,0,evaporation,TK-03,0.000146,FREE VENT - PV valve missing/stuck open
15,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
15,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
15,0,evaporation,loading bays,0.001985,vapour displaced from road tankers
15,1,evaporation,TK-01,1e-06,"PV valve, set 2.5 kPa"
15,1,evaporation,TK-02,1e-06,"PV valve, set 2.5 kPa"
15,1,evaporation,TK-03,0.000185,FREE VENT - PV valve missing/stuck open
15,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
15,1,evaporation,TK-05,0.004088,"PV valve, set 2.5 kPa"
15,1,evaporation,loading bays,0.002681,vapour displaced from road tankers
15,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
15,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
15,2,evaporation,TK-03,0.001448,FREE VENT - PV valve missing/stuck open
15,2,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
15,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
15,2,evaporation,loading bays,0.001472,vapour displaced from road tankers
16,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
16,0,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
16,0,evaporation,TK-03,0.000136,FREE VENT - PV valve missing/stuck open
16,0,evaporation,TK-04,0.002078,"PV valve, set 2.5 kPa"
16,0,evaporation,TK-05,4e-06,"PV valve, set 2.5 kPa"
16,0,evaporation,loading bays,0.002053,vapour displaced from road tankers
16,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
16,1,evaporation,TK-02,0.002929,"PV valve, set 2.5 kPa"
16,1,evaporation,TK-03,0.000199,FREE VENT - PV valve missing/stuck open
16,1,evaporation,TK-04,0.0,"PV valve, set 2.5 kPa"
16,1,evaporation,TK-05,0.0,"PV valve, set 2.5 kPa"
16,1,evaporation,loading bays,0.003287,vapour displaced from road tankers
16,2,evaporation,TK-01,0.001832,"PV valve, set 2.5 kPa"
16,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
16,2,evaporation,TK-03,0.000167,FREE VENT - PV valve missing/stuck open
16,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
16,2,evaporation,TK-05,2e-06,"PV valve, set 2.5 kPa"
16,2,evaporation,loading bays,0.001388,vapour displaced from road tankers
17,0,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
17,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
17,0,evaporation,TK-03,0.000161,FREE VENT - PV valve missing/stuck open
17,0,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
17,0,evaporation,TK-05,0.002659,"PV valve, set 2.5 kPa"
17,0,evaporation,loading bays,0.001884,vapour displaced from road tankers
17,1,evaporation,TK-01,1e-06,"PV valve, set 2.5 kPa"
17,1,evaporation,TK-02,1e-06,"PV valve, set 2.5 kPa"
17,1,evaporation,TK-03,0.003357,FREE VENT - PV valve missing/stuck open
17,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
17,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
17,1,evaporation,loading bays,0.003095,vapour displaced from road tankers
17,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
17,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
17,2,evaporation,TK-03,0.000141,FREE VENT - PV valve missing/stuck open
17,2,evaporation,TK-04,0.001755,"PV valve, set 2.5 kPa"
17,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
17,2,evaporation,loading bays,0.001325,vapour displaced from road tankers
18,0,evaporation,TK-01,0.001958,"PV valve, set 2.5 kPa"
18,0,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
18,0,evaporation,TK-03,0.000136,FREE VENT - PV valve missing/stuck open
18,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
18,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
18,0,evaporation,loading bays,0.001688,vapour displaced from road tankers
18,1,evaporation,TK-01,1e-06,"PV valve, set 2.5 kPa"
18,1,evaporation,TK-02,0.003406,"PV valve, set 2.5 kPa"
18,1,evaporation,TK-03,0.000186,FREE VENT - PV valve missing/stuck open
18,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
18,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
18,1,evaporation,loading bays,0.003474,vapour displaced from road tankers
18,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
18,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
18,2,evaporation,TK-03,0.000151,FREE VENT - PV valve missing/stuck open
18,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
18,2,evaporation,TK-05,0.001601,"PV valve, set 2.5 kPa"
18,2,evaporation,loading bays,0.001285,vapour displaced from road tankers
19,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
19,0,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
19,0,evaporation,TK-03,0.00015,FREE VENT - PV valve missing/stuck open
19,0,evaporation,TK-04,0.002025,"PV valve, set 2.5 kPa"
19,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
19,0,evaporation,loading bays,0.002105,vapour displaced from road tankers
19,1,evaporation,TK-01,0.002783,"PV valve, set 2.5 kPa"
19,1,evaporation,TK-02,1e-06,"PV valve, set 2.5 kPa"
19,1,evaporation,TK-03,0.000188,FREE VENT - PV valve missing/stuck open
19,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
19,1,evaporation,TK-05,2e-06,"PV valve, set 2.5 kPa"
19,1,evaporation,loading bays,0.003354,vapour displaced from road tankers
19,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
19,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
19,2,evaporation,TK-03,0.001996,FREE VENT - PV valve missing/stuck open
19,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
19,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
19,2,evaporation,loading bays,0.001249,vapour displaced from road tankers
20,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
20,0,evaporation,TK-02,3e-06,"PV valve, set 2.5 kPa"
20,0,evaporation,TK-03,0.000134,FREE VENT - PV valve missing/stuck open
20,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
20,0,evaporation,TK-05,0.002126,"PV valve, set 2.5 kPa"
20,0,evaporation,loading bays,0.001716,vapour displaced from road tankers
20,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
20,1,evaporation,TK-02,0.004755,"PV valve, set 2.5 kPa"
20,1,evaporation,TK-03,0.000194,FREE VENT - PV valve missing/stuck open
20,1,evaporation,TK-04,1e-06,"PV valve, set 2.5 kPa"
20,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
20,1,evaporation,loading bays,0.003349,vapour displaced from road tankers
20,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
20,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
20,2,evaporation,TK-03,0.000158,FREE VENT - PV valve missing/stuck open
20,2,evaporation,TK-04,0.001794,"PV valve, set 2.5 kPa"
20,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
20,2,evaporation,loading bays,0.001289,vapour displaced from road tankers
21,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
21,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
21,0,evaporation,TK-03,0.000157,FREE VENT - PV valve missing/stuck open
21,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
21,0,evaporation,TK-05,0.001917,"PV valve, set 2.5 kPa"
21,0,evaporation,loading bays,0.002189,vapour displaced from road tankers
21,1,evaporation,TK-01,0.003897,"PV valve, set 2.5 kPa"
21,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
21,1,evaporation,TK-03,0.000217,FREE VENT - PV valve missing/stuck open
21,1,evaporation,TK-04,0.0,"PV valve, set 2.5 kPa"
21,1,evaporation,TK-05,0.0,"PV valve, set 2.5 kPa"
21,1,evaporation,loading bays,0.003274,vapour displaced from road tankers
21,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
21,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
21,2,evaporation,TK-03,0.00238,FREE VENT - PV valve missing/stuck open
21,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
